Entity,Code,Day,Daily hospital occupancy
Australia,AUS,2020-08-02,439
Australia,AUS,2020-08-03,483
Australia,AUS,2020-08-04,566
Australia,AUS,2020-08-05,600
Australia,AUS,2020-08-06,632
Australia,AUS,2020-08-07,659
Australia,AUS,2020-08-08,658
Australia,AUS,2020-08-09,664
Australia,AUS,2020-08-10,673
Australia,AUS,2020-08-11,686
Australia,AUS,2020-08-12,686
Australia,AUS,2020-08-13,679
Australia,AUS,2020-08-14,681
Australia,AUS,2020-08-15,680
Australia,AUS,2020-08-16,674
Australia,AUS,2020-08-17,682
Australia,AUS,2020-08-18,694
Australia,AUS,2020-08-19,644
Australia,AUS,2020-08-20,647
Australia,AUS,2020-08-21,631
Australia,AUS,2020-08-22,604
Australia,AUS,2020-08-23,659
Australia,AUS,2020-08-24,644
Australia,AUS,2020-08-25,603
Australia,AUS,2020-08-26,558
Australia,AUS,2020-08-27,543
Australia,AUS,2020-08-28,510
Australia,AUS,2020-08-29,501
Australia,AUS,2020-08-30,481
Australia,AUS,2020-08-31,450
Australia,AUS,2020-09-01,432
Australia,AUS,2020-09-02,391
Australia,AUS,2020-09-03,357
Australia,AUS,2020-09-04,326
Australia,AUS,2020-09-05,310
Australia,AUS,2020-09-06,294
Australia,AUS,2020-09-07,263
Australia,AUS,2020-09-08,221
Australia,AUS,2020-09-09,195
Australia,AUS,2020-09-10,162
Australia,AUS,2020-09-11,151
Australia,AUS,2020-09-12,137
Australia,AUS,2020-09-13,141
Australia,AUS,2020-09-14,139
Australia,AUS,2020-09-15,126
Australia,AUS,2020-09-16,117
Australia,AUS,2020-09-17,108
Australia,AUS,2020-09-18,106
Australia,AUS,2020-09-19,109
Australia,AUS,2020-09-20,107
Australia,AUS,2020-09-21,100
Australia,AUS,2020-09-22,89
Australia,AUS,2020-09-23,81
Australia,AUS,2020-09-24,71
Australia,AUS,2020-09-25,68
Australia,AUS,2020-09-26,65
Australia,AUS,2020-09-27,62
Australia,AUS,2020-09-28,60
Australia,AUS,2020-09-29,55
Australia,AUS,2020-09-30,50
Australia,AUS,2020-10-01,51
Australia,AUS,2020-10-02,49
Australia,AUS,2020-10-03,46
Australia,AUS,2020-10-04,46
Australia,AUS,2020-10-05,37
Australia,AUS,2020-10-06,32
Australia,AUS,2020-10-07,31
Australia,AUS,2020-10-08,28
Australia,AUS,2020-10-09,31
Australia,AUS,2020-10-10,31
Australia,AUS,2020-10-11,32
Australia,AUS,2020-10-12,31
Australia,AUS,2020-10-13,28
Australia,AUS,2020-10-14,26
Australia,AUS,2020-10-15,20
Australia,AUS,2020-10-16,18
Australia,AUS,2020-10-17,16
Australia,AUS,2020-10-18,17
Australia,AUS,2020-10-19,17
Australia,AUS,2020-10-20,16
Australia,AUS,2020-10-21,16
Australia,AUS,2020-10-22,20
Australia,AUS,2020-10-23,18
Australia,AUS,2020-10-24,17
Australia,AUS,2020-10-25,17
Australia,AUS,2020-10-26,15
Australia,AUS,2020-10-27,13
Australia,AUS,2020-10-28,19
Australia,AUS,2020-10-29,20
Australia,AUS,2020-10-30,17
Australia,AUS,2020-10-31,17
Australia,AUS,2020-11-01,16
Australia,AUS,2020-11-02,15
Australia,AUS,2020-11-03,20
Australia,AUS,2020-11-04,21
Australia,AUS,2020-11-05,20
Australia,AUS,2020-11-06,19
Australia,AUS,2020-11-07,19
Australia,AUS,2020-11-08,20
Australia,AUS,2020-11-09,20
Australia,AUS,2020-11-10,22
Australia,AUS,2020-11-11,22
Australia,AUS,2020-11-12,22
Australia,AUS,2020-11-13,21
Australia,AUS,2020-11-14,22
Australia,AUS,2020-11-15,24
Australia,AUS,2020-11-16,23
Australia,AUS,2020-11-17,22
Australia,AUS,2020-11-18,26
Australia,AUS,2020-11-19,23
Australia,AUS,2020-11-20,25
Australia,AUS,2020-11-21,22
Australia,AUS,2020-11-22,21
Australia,AUS,2020-11-23,25
Australia,AUS,2020-11-24,24
Australia,AUS,2020-11-25,24
Australia,AUS,2020-11-26,22
Australia,AUS,2020-11-27,21
Australia,AUS,2020-11-28,21
Australia,AUS,2020-11-29,22
Australia,AUS,2020-11-30,21
Australia,AUS,2020-12-01,21
Australia,AUS,2020-12-02,26
Australia,AUS,2020-12-03,27
Australia,AUS,2020-12-04,28
Australia,AUS,2020-12-05,29
Australia,AUS,2020-12-06,33
Australia,AUS,2020-12-07,37
Australia,AUS,2020-12-08,32
Australia,AUS,2020-12-09,38
Australia,AUS,2020-12-10,38
Australia,AUS,2020-12-11,37
Australia,AUS,2020-12-12,34
Australia,AUS,2020-12-13,28
Australia,AUS,2020-12-14,31
Australia,AUS,2020-12-15,28
Australia,AUS,2020-12-16,29
Australia,AUS,2020-12-17,24
Australia,AUS,2020-12-18,25
Australia,AUS,2020-12-19,26
Australia,AUS,2020-12-20,23
Australia,AUS,2020-12-21,22
Australia,AUS,2020-12-22,20
Australia,AUS,2020-12-23,21
Australia,AUS,2020-12-24,24
Australia,AUS,2020-12-25,23
Australia,AUS,2020-12-26,25
Australia,AUS,2020-12-27,19
Australia,AUS,2020-12-28,24
Australia,AUS,2020-12-29,19
Australia,AUS,2020-12-30,22
Australia,AUS,2020-12-31,19
Australia,AUS,2021-01-01,25
Australia,AUS,2021-01-02,26
Australia,AUS,2021-01-03,26
Australia,AUS,2021-01-04,32
Australia,AUS,2021-01-05,36
Australia,AUS,2021-01-06,38
Australia,AUS,2021-01-07,41
Australia,AUS,2021-01-08,40
Australia,AUS,2021-01-09,41
Australia,AUS,2021-01-10,45
Australia,AUS,2021-01-11,47
Australia,AUS,2021-01-12,44
Australia,AUS,2021-01-13,46
Australia,AUS,2021-01-14,51
Australia,AUS,2021-01-15,47
Australia,AUS,2021-01-16,38
Australia,AUS,2021-01-17,34
Australia,AUS,2021-01-18,32
Australia,AUS,2021-01-19,36
Australia,AUS,2021-01-20,32
Australia,AUS,2021-01-21,34
Australia,AUS,2021-01-22,32
Australia,AUS,2021-01-23,26
Australia,AUS,2021-01-24,25
Australia,AUS,2021-01-25,28
Australia,AUS,2021-01-26,21
Australia,AUS,2021-01-27,21
Australia,AUS,2021-01-28,20
Australia,AUS,2021-01-29,14
Australia,AUS,2021-01-30,14
Australia,AUS,2021-01-31,10
Australia,AUS,2021-02-01,9
Australia,AUS,2021-02-02,9
Australia,AUS,2021-02-03,10
Australia,AUS,2021-02-04,9
Australia,AUS,2021-02-05,9
Australia,AUS,2021-02-06,11
Australia,AUS,2021-02-07,10
Australia,AUS,2021-02-08,11
Australia,AUS,2021-02-09,12
Australia,AUS,2021-02-10,11
Australia,AUS,2021-02-11,12
Australia,AUS,2021-02-12,11
Australia,AUS,2021-02-13,14
Australia,AUS,2021-02-14,14
Australia,AUS,2021-02-15,12
Australia,AUS,2021-02-16,11
Australia,AUS,2021-02-17,12
Australia,AUS,2021-02-18,10
Australia,AUS,2021-02-19,10
Australia,AUS,2021-02-20,10
Australia,AUS,2021-02-21,11
Australia,AUS,2021-02-22,11
Australia,AUS,2021-02-23,12
Australia,AUS,2021-02-24,13
Australia,AUS,2021-02-25,17
Australia,AUS,2021-02-26,21
Australia,AUS,2021-02-27,19
Australia,AUS,2021-02-28,17
Australia,AUS,2021-03-01,24
Australia,AUS,2021-03-02,20
Australia,AUS,2021-03-03,27
Australia,AUS,2021-03-04,24
Australia,AUS,2021-03-05,27
Australia,AUS,2021-03-06,29
Australia,AUS,2021-03-07,29
Australia,AUS,2021-03-08,29
Australia,AUS,2021-03-09,42
Australia,AUS,2021-03-10,46
Australia,AUS,2021-03-11,44
Australia,AUS,2021-03-12,48
Australia,AUS,2021-03-13,41
Australia,AUS,2021-03-14,37
Australia,AUS,2021-03-15,43
Australia,AUS,2021-03-16,47
Australia,AUS,2021-03-17,46
Australia,AUS,2021-03-18,63
Australia,AUS,2021-03-19,64
Australia,AUS,2021-03-20,60
Australia,AUS,2021-03-21,64
Australia,AUS,2021-03-22,66
Australia,AUS,2021-03-23,72
Australia,AUS,2021-03-24,71
Australia,AUS,2021-03-25,73
Australia,AUS,2021-03-26,75
Australia,AUS,2021-03-27,77
Australia,AUS,2021-03-28,78
Australia,AUS,2021-03-29,83
Australia,AUS,2021-03-30,76
Australia,AUS,2021-03-31,87
Australia,AUS,2021-04-01,86
Australia,AUS,2021-04-02,78
Australia,AUS,2021-04-03,81
Australia,AUS,2021-04-04,84
Australia,AUS,2021-04-05,79
Australia,AUS,2021-04-06,82
Australia,AUS,2021-04-07,76
Australia,AUS,2021-04-08,76
Australia,AUS,2021-04-09,69
Australia,AUS,2021-04-10,65
Australia,AUS,2021-04-11,62
Australia,AUS,2021-04-12,63
Australia,AUS,2021-04-13,59
Australia,AUS,2021-04-14,50
Australia,AUS,2021-04-15,46
Australia,AUS,2021-04-16,44
Australia,AUS,2021-04-17,44
Australia,AUS,2021-04-18,47
Australia,AUS,2021-04-19,48
Australia,AUS,2021-04-20,47
Australia,AUS,2021-04-21,47
Australia,AUS,2021-04-22,61
Australia,AUS,2021-04-23,67
Australia,AUS,2021-04-24,68
Australia,AUS,2021-04-25,73
Australia,AUS,2021-04-26,71
Australia,AUS,2021-04-27,75
Australia,AUS,2021-04-28,69
Australia,AUS,2021-04-29,72
Australia,AUS,2021-04-30,74
Australia,AUS,2021-05-01,63
Australia,AUS,2021-05-02,57
Australia,AUS,2021-05-03,60
Australia,AUS,2021-05-04,54
Australia,AUS,2021-05-05,46
Australia,AUS,2021-05-06,38
Australia,AUS,2021-05-07,38
Australia,AUS,2021-05-08,36
Australia,AUS,2021-05-09,31
Australia,AUS,2021-05-10,29
Australia,AUS,2021-05-11,31
Australia,AUS,2021-05-12,27
Australia,AUS,2021-05-13,24
Australia,AUS,2021-05-14,23
Australia,AUS,2021-05-15,19
Australia,AUS,2021-05-16,21
Australia,AUS,2021-05-17,23
Australia,AUS,2021-05-18,23
Australia,AUS,2021-05-19,21
Australia,AUS,2021-05-20,17
Australia,AUS,2021-05-21,20
Australia,AUS,2021-05-22,17
Australia,AUS,2021-05-23,17
Australia,AUS,2021-05-24,18
Australia,AUS,2021-05-25,19
Australia,AUS,2021-05-26,17
Australia,AUS,2021-05-27,18
Australia,AUS,2021-05-28,17
Australia,AUS,2021-05-29,19
Australia,AUS,2021-05-30,21
Australia,AUS,2021-05-31,17
Australia,AUS,2021-06-01,21
Australia,AUS,2021-06-02,22
Australia,AUS,2021-06-03,19
Australia,AUS,2021-06-04,17
Australia,AUS,2021-06-05,16
Australia,AUS,2021-06-06,17
Australia,AUS,2021-06-07,19
Australia,AUS,2021-06-08,13
Australia,AUS,2021-06-09,16
Australia,AUS,2021-06-10,16
Australia,AUS,2021-06-11,15
Australia,AUS,2021-06-12,16
Australia,AUS,2021-06-13,25
Australia,AUS,2021-06-14,25
Australia,AUS,2021-06-15,27
Australia,AUS,2021-06-16,29
Australia,AUS,2021-06-17,32
Australia,AUS,2021-06-18,36
Australia,AUS,2021-06-19,35
Australia,AUS,2021-06-20,36
Australia,AUS,2021-06-21,37
Australia,AUS,2021-06-22,43
Australia,AUS,2021-06-23,45
Australia,AUS,2021-06-24,48
Australia,AUS,2021-06-25,50
Australia,AUS,2021-06-26,50
Australia,AUS,2021-06-27,59
Australia,AUS,2021-06-28,60
Australia,AUS,2021-06-29,62
Australia,AUS,2021-06-30,67
Australia,AUS,2021-07-01,73
Australia,AUS,2021-07-02,66
Australia,AUS,2021-07-03,75
Australia,AUS,2021-07-04,83
Australia,AUS,2021-07-05,78
Australia,AUS,2021-07-06,91
Australia,AUS,2021-07-07,98
Australia,AUS,2021-07-08,100
Australia,AUS,2021-07-09,106
Australia,AUS,2021-07-10,107
Australia,AUS,2021-07-11,124
Australia,AUS,2021-07-12,119
Australia,AUS,2021-07-13,122
Australia,AUS,2021-07-14,126
Australia,AUS,2021-07-15,128
Australia,AUS,2021-07-16,113
Australia,AUS,2021-07-17,114
Australia,AUS,2021-07-18,123
Australia,AUS,2021-07-19,137
Australia,AUS,2021-07-20,146
Australia,AUS,2021-07-21,158
Australia,AUS,2021-07-22,170
Australia,AUS,2021-07-23,173
Australia,AUS,2021-07-24,173
Australia,AUS,2021-07-25,191
Australia,AUS,2021-07-26,207
Australia,AUS,2021-07-27,221
Australia,AUS,2021-07-28,224
Australia,AUS,2021-07-29,234
Australia,AUS,2021-07-30,250
Australia,AUS,2021-07-31,276
Australia,AUS,2021-08-01,290
Australia,AUS,2021-08-02,318
Australia,AUS,2021-08-03,366
Australia,AUS,2021-08-04,374
Australia,AUS,2021-08-05,392
Australia,AUS,2021-08-06,433
Australia,AUS,2021-08-07,433
Australia,AUS,2021-08-08,428
Australia,AUS,2021-08-09,433
Australia,AUS,2021-08-10,441
Australia,AUS,2021-08-11,428
Australia,AUS,2021-08-12,442
Australia,AUS,2021-08-13,427
Australia,AUS,2021-08-14,424
Australia,AUS,2021-08-15,436
Australia,AUS,2021-08-16,492
Australia,AUS,2021-08-17,503
Australia,AUS,2021-08-18,513
Australia,AUS,2021-08-19,506
Australia,AUS,2021-08-20,554
Australia,AUS,2021-08-21,605
Australia,AUS,2021-08-22,641
Australia,AUS,2021-08-23,668
Australia,AUS,2021-08-24,709
Australia,AUS,2021-08-25,767
Australia,AUS,2021-08-26,842
Australia,AUS,2021-08-27,854
Australia,AUS,2021-08-28,893
Australia,AUS,2021-08-29,926
Australia,AUS,2021-08-30,953
Australia,AUS,2021-08-31,1008
Australia,AUS,2021-09-01,1048
Australia,AUS,2021-09-02,1071
Australia,AUS,2021-09-03,1145
Australia,AUS,2021-09-04,1137
Australia,AUS,2021-09-05,1191
Australia,AUS,2021-09-06,1287
Australia,AUS,2021-09-07,1280
Australia,AUS,2021-09-08,1348
Australia,AUS,2021-09-09,1318
Australia,AUS,2021-09-10,1337
Australia,AUS,2021-09-11,1377
Australia,AUS,2021-09-12,1373
Australia,AUS,2021-09-13,1440
Australia,AUS,2021-09-14,1441
Australia,AUS,2021-09-15,1443
Australia,AUS,2021-09-16,1483
Australia,AUS,2021-09-17,1455
Australia,AUS,2021-09-18,1470
Australia,AUS,2021-09-19,1442
Australia,AUS,2021-09-20,1539
Australia,AUS,2021-09-21,1518
Australia,AUS,2021-09-22,1530
Australia,AUS,2021-09-23,1508
Australia,AUS,2021-09-24,1529
Australia,AUS,2021-09-25,1493
Australia,AUS,2021-09-26,1538
Australia,AUS,2021-09-27,1551
Australia,AUS,2021-09-28,1479
Australia,AUS,2021-09-29,1514
Australia,AUS,2021-09-30,1483
Australia,AUS,2021-10-01,1468
Australia,AUS,2021-10-02,1496
Australia,AUS,2021-10-03,1496
Australia,AUS,2021-10-04,1535
Australia,AUS,2021-10-05,1526
Australia,AUS,2021-10-06,1520
Australia,AUS,2021-10-07,1522
Australia,AUS,2021-10-08,1437
Australia,AUS,2021-10-09,1446
Australia,AUS,2021-10-10,1492
Australia,AUS,2021-10-11,1486
Australia,AUS,2021-10-12,1462
Australia,AUS,2021-10-13,1458
Australia,AUS,2021-10-14,1414
Australia,AUS,2021-10-15,1493
Australia,AUS,2021-10-16,1441
Australia,AUS,2021-10-17,1502
Australia,AUS,2021-10-18,1416
Australia,AUS,2021-10-19,1378
Australia,AUS,2021-10-20,1343
Australia,AUS,2021-10-21,1309
Australia,AUS,2021-10-22,1284
Australia,AUS,2021-10-23,1312
Australia,AUS,2021-10-24,1317
Australia,AUS,2021-10-25,1309
Australia,AUS,2021-10-26,1192
Australia,AUS,2021-10-27,1151
Australia,AUS,2021-10-28,1126
Australia,AUS,2021-10-29,1113
Australia,AUS,2021-10-30,1064
Australia,AUS,2021-10-31,1068
Australia,AUS,2021-11-01,1018
Australia,AUS,2021-11-02,983
Australia,AUS,2021-11-03,978
Australia,AUS,2021-11-04,931
Australia,AUS,2021-11-05,934
Australia,AUS,2021-11-06,851
Australia,AUS,2021-11-07,835
Australia,AUS,2021-11-08,851
Australia,AUS,2021-11-09,724
Australia,AUS,2021-11-10,702
Australia,AUS,2021-11-11,681
Australia,AUS,2021-11-12,654
Australia,AUS,2021-11-13,638
Australia,AUS,2021-11-14,615
Australia,AUS,2021-11-15,632
Australia,AUS,2021-11-16,598
Australia,AUS,2021-11-17,574
Australia,AUS,2021-11-18,559
Australia,AUS,2021-11-19,538
Australia,AUS,2021-11-20,547
Australia,AUS,2021-11-21,564
Australia,AUS,2021-11-22,550
Australia,AUS,2021-11-23,531
Australia,AUS,2021-11-24,563
Australia,AUS,2021-11-25,557
Australia,AUS,2021-11-26,536
Australia,AUS,2021-11-27,512
Australia,AUS,2021-11-28,542
Australia,AUS,2021-11-29,543
Australia,AUS,2021-11-30,532
Australia,AUS,2021-12-01,513
Australia,AUS,2021-12-02,511
Australia,AUS,2021-12-03,517
Australia,AUS,2021-12-04,541
Australia,AUS,2021-12-05,562
Australia,AUS,2021-12-06,543
Australia,AUS,2021-12-07,529
Australia,AUS,2021-12-08,539
Australia,AUS,2021-12-09,544
Australia,AUS,2021-12-10,541
Australia,AUS,2021-12-11,535
Australia,AUS,2021-12-12,569
Australia,AUS,2021-12-13,610
Australia,AUS,2021-12-14,625
Australia,AUS,2021-12-15,672
Australia,AUS,2021-12-16,716
Australia,AUS,2021-12-17,717
Australia,AUS,2021-12-18,759
Australia,AUS,2021-12-19,754
Australia,AUS,2021-12-20,774
Australia,AUS,2021-12-21,794
Australia,AUS,2021-12-22,860
Australia,AUS,2021-12-23,911
Australia,AUS,2021-12-24,906
Australia,AUS,2021-12-25,969
Australia,AUS,2021-12-26,1000
Australia,AUS,2021-12-27,1067
Australia,AUS,2021-12-28,1177
Australia,AUS,2021-12-29,1310
Australia,AUS,2021-12-30,1465
Australia,AUS,2021-12-31,1605
Australia,AUS,2022-01-01,1828
Australia,AUS,2022-01-02,2003
Australia,AUS,2022-01-03,2207
Australia,AUS,2022-01-04,2524
Australia,AUS,2022-01-05,2707
Australia,AUS,2022-01-06,2904
Australia,AUS,2022-01-07,3107
Australia,AUS,2022-01-08,3323
Australia,AUS,2022-01-09,3523
Australia,AUS,2022-01-10,3865
Australia,AUS,2022-01-11,4006
Australia,AUS,2022-01-12,4197
Australia,AUS,2022-01-13,4424
Australia,AUS,2022-01-14,4603
Australia,AUS,2022-01-15,4759
Australia,AUS,2022-01-16,5047
Australia,AUS,2022-01-17,5238
Australia,AUS,2022-01-18,5307
Australia,AUS,2022-01-19,5277
Austria,AUT,2020-04-01,856
Austria,AUT,2020-04-02,823
Austria,AUT,2020-04-03,829
Austria,AUT,2020-04-04,826
Austria,AUT,2020-04-05,712
Austria,AUT,2020-04-06,824
Austria,AUT,2020-04-07,857
Austria,AUT,2020-04-08,829
Austria,AUT,2020-04-09,820
Austria,AUT,2020-04-10,771
Austria,AUT,2020-04-11,790
Austria,AUT,2020-04-12,792
Austria,AUT,2020-04-13,742
Austria,AUT,2020-04-14,759
Austria,AUT,2020-04-15,769
Austria,AUT,2020-04-16,729
Austria,AUT,2020-04-17,682
Austria,AUT,2020-04-18,647
Austria,AUT,2020-04-19,613
Austria,AUT,2020-04-20,611
Austria,AUT,2020-04-21,560
Austria,AUT,2020-04-22,524
Austria,AUT,2020-04-23,508
Austria,AUT,2020-04-24,495
Austria,AUT,2020-04-25,460
Austria,AUT,2020-04-26,449
Austria,AUT,2020-04-27,439
Austria,AUT,2020-04-28,425
Austria,AUT,2020-04-29,386
Austria,AUT,2020-04-30,372
Austria,AUT,2020-05-01,348
Austria,AUT,2020-05-02,314
Austria,AUT,2020-05-03,308
Austria,AUT,2020-05-04,309
Austria,AUT,2020-05-05,314
Austria,AUT,2020-05-06,321
Austria,AUT,2020-05-07,268
Austria,AUT,2020-05-08,258
Austria,AUT,2020-05-09,230
Austria,AUT,2020-05-10,219
Austria,AUT,2020-05-11,211
Austria,AUT,2020-05-12,205
Austria,AUT,2020-05-13,188
Austria,AUT,2020-05-14,180
Austria,AUT,2020-05-15,165
Austria,AUT,2020-05-16,158
Austria,AUT,2020-05-17,149
Austria,AUT,2020-05-18,151
Austria,AUT,2020-05-19,143
Austria,AUT,2020-05-20,137
Austria,AUT,2020-05-21,156
Austria,AUT,2020-05-22,128
Austria,AUT,2020-05-23,116
Austria,AUT,2020-05-24,108
Austria,AUT,2020-05-25,108
Austria,AUT,2020-05-26,95
Austria,AUT,2020-05-27,84
Austria,AUT,2020-05-28,77
Austria,AUT,2020-05-29,78
Austria,AUT,2020-05-30,75
Austria,AUT,2020-05-31,70
Austria,AUT,2020-06-01,68
Austria,AUT,2020-06-02,62
Austria,AUT,2020-06-03,66
Austria,AUT,2020-06-04,65
Austria,AUT,2020-06-05,55
Austria,AUT,2020-06-06,55
Austria,AUT,2020-06-07,52
Austria,AUT,2020-06-08,65
Austria,AUT,2020-06-09,65
Austria,AUT,2020-06-10,63
Austria,AUT,2020-06-11,67
Austria,AUT,2020-06-12,60
Austria,AUT,2020-06-13,62
Austria,AUT,2020-06-14,57
Austria,AUT,2020-06-15,64
Austria,AUT,2020-06-16,66
Austria,AUT,2020-06-17,60
Austria,AUT,2020-06-18,64
Austria,AUT,2020-06-19,68
Austria,AUT,2020-06-20,66
Austria,AUT,2020-06-21,61
Austria,AUT,2020-06-22,59
Austria,AUT,2020-06-23,57
Austria,AUT,2020-06-24,59
Austria,AUT,2020-06-25,60
Austria,AUT,2020-06-26,60
Austria,AUT,2020-06-27,61
Austria,AUT,2020-06-28,62
Austria,AUT,2020-06-29,66
Austria,AUT,2020-06-30,58
Austria,AUT,2020-07-01,65
Austria,AUT,2020-07-02,62
Austria,AUT,2020-07-03,65
Austria,AUT,2020-07-04,60
Austria,AUT,2020-07-05,62
Austria,AUT,2020-07-06,67
Austria,AUT,2020-07-07,81
Austria,AUT,2020-07-08,66
Austria,AUT,2020-07-09,66
Austria,AUT,2020-07-10,71
Austria,AUT,2020-07-11,68
Austria,AUT,2020-07-12,73
Austria,AUT,2020-07-13,74
Austria,AUT,2020-07-14,74
Austria,AUT,2020-07-15,86
Austria,AUT,2020-07-16,83
Austria,AUT,2020-07-17,88
Austria,AUT,2020-07-18,87
Austria,AUT,2020-07-19,85
Austria,AUT,2020-07-20,96
Austria,AUT,2020-07-21,96
Austria,AUT,2020-07-22,93
Austria,AUT,2020-07-23,87
Austria,AUT,2020-07-24,86
Austria,AUT,2020-07-25,85
Austria,AUT,2020-07-26,82
Austria,AUT,2020-07-27,79
Austria,AUT,2020-07-28,74
Austria,AUT,2020-07-29,74
Austria,AUT,2020-07-30,87
Austria,AUT,2020-07-31,84
Austria,AUT,2020-08-01,70
Austria,AUT,2020-08-02,73
Austria,AUT,2020-08-03,92
Austria,AUT,2020-08-04,84
Austria,AUT,2020-08-05,90
Austria,AUT,2020-08-06,92
Austria,AUT,2020-08-07,93
Austria,AUT,2020-08-08,96
Austria,AUT,2020-08-09,99
Austria,AUT,2020-08-10,92
Austria,AUT,2020-08-11,94
Austria,AUT,2020-08-12,93
Austria,AUT,2020-08-13,92
Austria,AUT,2020-08-14,91
Austria,AUT,2020-08-15,83
Austria,AUT,2020-08-16,65
Austria,AUT,2020-08-17,91
Austria,AUT,2020-08-18,97
Austria,AUT,2020-08-19,101
Austria,AUT,2020-08-20,95
Austria,AUT,2020-08-21,90
Austria,AUT,2020-08-22,94
Austria,AUT,2020-08-23,93
Austria,AUT,2020-08-24,112
Austria,AUT,2020-08-25,114
Austria,AUT,2020-08-26,118
Austria,AUT,2020-08-27,121
Austria,AUT,2020-08-28,119
Austria,AUT,2020-08-29,114
Austria,AUT,2020-08-30,110
Austria,AUT,2020-08-31,123
Austria,AUT,2020-09-01,119
Austria,AUT,2020-09-02,127
