Entity,Code,Day,Daily ICU occupancy,145332-annotations
Algeria,DZA,2020-09-16,31,
Algeria,DZA,2020-09-17,32,
Algeria,DZA,2020-09-18,27,
Algeria,DZA,2020-09-19,32,
Algeria,DZA,2020-09-20,31,
Algeria,DZA,2020-09-21,29,
Algeria,DZA,2020-09-22,34,
Algeria,DZA,2020-09-23,25,
Algeria,DZA,2020-09-24,27,
Algeria,DZA,2020-09-25,25,
Algeria,DZA,2020-09-26,25,
Algeria,DZA,2020-09-27,22,
Algeria,DZA,2020-09-28,25,
Algeria,DZA,2020-09-29,23,
Algeria,DZA,2020-09-30,23,
Algeria,DZA,2020-10-01,23,
Algeria,DZA,2020-10-02,23,
Algeria,DZA,2020-10-03,25,
Algeria,DZA,2020-10-04,21,
Algeria,DZA,2020-10-05,22,
Algeria,DZA,2020-10-07,31,
Algeria,DZA,2020-10-08,30,
Algeria,DZA,2020-10-09,31,
Algeria,DZA,2020-10-10,31,
Algeria,DZA,2020-10-11,28,
Algeria,DZA,2020-10-12,35,
Algeria,DZA,2020-10-13,38,
Algeria,DZA,2020-10-14,35,
Algeria,DZA,2020-10-15,35,
Algeria,DZA,2020-10-17,36,
Algeria,DZA,2020-10-18,33,
Algeria,DZA,2020-10-19,39,
Algeria,DZA,2020-10-20,38,
Algeria,DZA,2020-10-21,37,
Algeria,DZA,2020-10-22,31,
Algeria,DZA,2020-10-23,33,
Algeria,DZA,2020-10-24,29,
Algeria,DZA,2020-10-25,29,
Algeria,DZA,2020-10-26,30,
Algeria,DZA,2020-10-28,40,
Algeria,DZA,2020-10-29,39,
Algeria,DZA,2020-10-30,48,
Algeria,DZA,2020-10-31,44,
Algeria,DZA,2020-11-01,49,
Algeria,DZA,2020-11-02,46,
Algeria,DZA,2020-11-04,50,
Algeria,DZA,2020-11-05,53,
Algeria,DZA,2020-11-07,59,
Algeria,DZA,2020-11-08,63,
Algeria,DZA,2020-11-09,60,
Algeria,DZA,2020-11-11,49,
Algeria,DZA,2020-11-12,53,
Algeria,DZA,2020-11-13,52,
Algeria,DZA,2020-11-14,42,
Algeria,DZA,2020-11-15,44,
Algeria,DZA,2020-11-16,50,
Algeria,DZA,2020-11-17,39,
Algeria,DZA,2020-11-18,43,
Algeria,DZA,2020-11-19,53,
Algeria,DZA,2020-11-20,49,
Algeria,DZA,2020-11-21,52,
Algeria,DZA,2020-11-22,46,
Algeria,DZA,2020-11-23,46,
Algeria,DZA,2020-11-26,44,
Algeria,DZA,2020-11-27,50,
Algeria,DZA,2020-11-28,51,
Algeria,DZA,2020-11-30,46,
Algeria,DZA,2020-12-01,46,
Algeria,DZA,2020-12-03,45,
Algeria,DZA,2020-12-07,38,
Algeria,DZA,2020-12-08,44,
Algeria,DZA,2020-12-09,42,
Algeria,DZA,2020-12-10,44,
Algeria,DZA,2020-12-11,46,
Algeria,DZA,2020-12-12,42,
Algeria,DZA,2020-12-13,46,
Algeria,DZA,2020-12-15,46,
Algeria,DZA,2020-12-16,44,
Algeria,DZA,2020-12-17,45,
Algeria,DZA,2020-12-20,50,
Algeria,DZA,2020-12-21,43,
Algeria,DZA,2020-12-22,49,
Algeria,DZA,2020-12-23,49,
Algeria,DZA,2020-12-24,46,
Algeria,DZA,2020-12-29,40,
Algeria,DZA,2020-12-30,43,
Algeria,DZA,2021-01-01,42,
Algeria,DZA,2021-01-02,31,
Algeria,DZA,2021-01-03,36,
Algeria,DZA,2021-01-04,27,
Algeria,DZA,2021-01-05,29,
Algeria,DZA,2021-01-06,32,
Algeria,DZA,2021-01-07,27,
Algeria,DZA,2021-01-08,34,
Algeria,DZA,2021-01-09,33,
Algeria,DZA,2021-01-10,29,
Algeria,DZA,2021-01-11,28,
Algeria,DZA,2021-01-12,24,
Algeria,DZA,2021-01-15,28,
Algeria,DZA,2021-01-16,23,
Algeria,DZA,2021-01-17,32,
Algeria,DZA,2021-01-18,28,
Algeria,DZA,2021-01-19,29,
Algeria,DZA,2021-01-20,32,
Algeria,DZA,2021-01-21,31,
Algeria,DZA,2021-01-22,36,
Algeria,DZA,2021-01-23,29,
Algeria,DZA,2021-01-24,34,
Algeria,DZA,2021-01-25,34,
Algeria,DZA,2021-01-26,34,
Algeria,DZA,2021-01-27,39,
Algeria,DZA,2021-01-30,33,
Algeria,DZA,2021-02-01,29,
Algeria,DZA,2021-02-02,23,
Algeria,DZA,2021-02-05,21,
Algeria,DZA,2021-02-08,25,
Algeria,DZA,2021-02-10,25,
Algeria,DZA,2021-02-12,22,
Algeria,DZA,2021-02-13,20,
Algeria,DZA,2021-02-14,19,
Algeria,DZA,2021-02-19,18,
Algeria,DZA,2021-02-20,16,
Algeria,DZA,2021-02-21,15,
Algeria,DZA,2021-02-23,19,
Algeria,DZA,2021-02-25,18,
Algeria,DZA,2021-02-26,21,
Algeria,DZA,2021-02-27,21,
Algeria,DZA,2021-02-28,22,
Algeria,DZA,2021-03-01,22,
Algeria,DZA,2021-03-02,23,
Algeria,DZA,2021-03-07,21,
Algeria,DZA,2021-03-10,19,
Algeria,DZA,2021-03-12,15,
Algeria,DZA,2021-03-22,7,
Algeria,DZA,2021-03-23,9,
Algeria,DZA,2021-03-24,9,
Algeria,DZA,2021-03-25,17,
Algeria,DZA,2021-03-26,18,
Algeria,DZA,2021-03-27,20,
Algeria,DZA,2021-03-28,19,
Algeria,DZA,2021-03-29,20,
Algeria,DZA,2021-03-30,15,
Algeria,DZA,2021-03-31,15,
Algeria,DZA,2021-04-01,14,
Algeria,DZA,2021-04-02,16,
Algeria,DZA,2021-04-03,20,
Algeria,DZA,2021-04-04,20,
Algeria,DZA,2021-04-05,16,
Algeria,DZA,2021-04-06,19,
Algeria,DZA,2021-04-07,20,
Algeria,DZA,2021-04-08,20,
Algeria,DZA,2021-04-09,19,
Algeria,DZA,2021-04-10,19,
Algeria,DZA,2021-04-11,19,
Algeria,DZA,2021-04-12,14,
Algeria,DZA,2021-04-13,19,
Algeria,DZA,2021-04-14,17,
Algeria,DZA,2021-04-15,16,
Algeria,DZA,2021-04-16,12,
Algeria,DZA,2021-04-17,15,
Algeria,DZA,2021-04-18,21,
Algeria,DZA,2021-04-19,22,
Algeria,DZA,2021-04-20,19,
Algeria,DZA,2021-04-21,21,
Algeria,DZA,2021-04-22,23,
Algeria,DZA,2021-04-23,22,
Algeria,DZA,2021-04-24,22,
Algeria,DZA,2021-04-25,20,
Algeria,DZA,2021-04-26,21,
Algeria,DZA,2021-04-27,20,
Algeria,DZA,2021-04-28,23,
Algeria,DZA,2021-04-29,22,
Algeria,DZA,2021-04-30,28,
Algeria,DZA,2021-05-01,31,
Algeria,DZA,2021-05-02,24,
Algeria,DZA,2021-05-03,26,
Algeria,DZA,2021-05-04,26,
Algeria,DZA,2021-05-05,22,
Algeria,DZA,2021-05-06,23,
Algeria,DZA,2021-05-07,23,
Algeria,DZA,2021-05-08,25,
Algeria,DZA,2021-05-09,23,
Algeria,DZA,2021-05-10,22,
Algeria,DZA,2021-05-11,19,
Algeria,DZA,2021-05-12,27,
Algeria,DZA,2021-05-13,23,
Algeria,DZA,2021-05-14,26,
Algeria,DZA,2021-05-15,24,
Algeria,DZA,2021-05-16,22,
Algeria,DZA,2021-05-17,22,
Algeria,DZA,2021-05-18,21,
Algeria,DZA,2021-05-19,19,
Algeria,DZA,2021-05-20,22,
Algeria,DZA,2021-05-21,21,
Algeria,DZA,2021-05-22,18,
Algeria,DZA,2021-05-23,15,
Algeria,DZA,2021-05-24,20,
Algeria,DZA,2021-05-25,20,
Algeria,DZA,2021-05-26,19,
Algeria,DZA,2021-05-27,24,
Algeria,DZA,2021-05-28,26,
Algeria,DZA,2021-05-29,28,
Algeria,DZA,2021-05-30,22,
Algeria,DZA,2021-05-31,19,
Algeria,DZA,2021-06-01,23,
Algeria,DZA,2021-06-02,22,
Algeria,DZA,2021-06-03,23,
Algeria,DZA,2021-06-04,25,
Algeria,DZA,2021-06-05,24,
Algeria,DZA,2021-06-06,19,
Algeria,DZA,2021-06-07,20,
Algeria,DZA,2021-06-08,25,
Algeria,DZA,2021-06-09,27,
Algeria,DZA,2021-06-10,26,
Algeria,DZA,2021-06-11,25,
Algeria,DZA,2021-06-12,28,
Algeria,DZA,2021-06-13,28,
Algeria,DZA,2021-06-14,30,
Algeria,DZA,2021-06-15,31,
Algeria,DZA,2021-06-16,26,
Algeria,DZA,2021-06-18,23,
Algeria,DZA,2021-06-19,34,
Algeria,DZA,2021-06-20,29,
Algeria,DZA,2021-06-21,30,
Algeria,DZA,2021-06-22,30,
Algeria,DZA,2021-06-23,28,
Algeria,DZA,2021-06-24,24,
Algeria,DZA,2021-06-26,21,
Algeria,DZA,2021-06-27,19,
Algeria,DZA,2021-06-28,23,
Algeria,DZA,2021-06-29,27,
Algeria,DZA,2021-06-30,32,
Algeria,DZA,2021-07-01,28,
Algeria,DZA,2021-07-02,29,
Algeria,DZA,2021-07-03,29,
Algeria,DZA,2021-07-04,33,
Algeria,DZA,2021-07-05,34,
Algeria,DZA,2021-07-06,29,
Algeria,DZA,2021-07-07,29,
Algeria,DZA,2021-07-08,45,
Algeria,DZA,2021-07-09,44,
Algeria,DZA,2021-07-10,49,
Algeria,DZA,2021-07-11,39,
Algeria,DZA,2021-07-12,36,
Algeria,DZA,2021-07-13,36,
Algeria,DZA,2021-07-14,51,
Algeria,DZA,2021-07-15,49,
Algeria,DZA,2021-07-16,42,
Algeria,DZA,2021-07-17,47,
Algeria,DZA,2021-07-18,45,
Algeria,DZA,2021-07-19,46,
Algeria,DZA,2021-07-20,45,
Algeria,DZA,2021-07-21,43,
Algeria,DZA,2021-07-22,46,
Algeria,DZA,2021-07-23,42,
Algeria,DZA,2021-07-24,51,
Algeria,DZA,2021-07-25,45,
Algeria,DZA,2021-07-26,41,
Algeria,DZA,2021-07-27,36,
Algeria,DZA,2021-07-28,36,
Algeria,DZA,2021-07-29,37,
Algeria,DZA,2021-07-30,52,
Algeria,DZA,2021-07-31,47,
Algeria,DZA,2021-08-01,38,
Algeria,DZA,2021-08-02,29,
Algeria,DZA,2021-08-03,29,
Algeria,DZA,2021-08-04,37,
Algeria,DZA,2021-08-05,35,
Algeria,DZA,2021-08-06,52,
Algeria,DZA,2021-08-07,52,
Algeria,DZA,2021-08-08,48,
Algeria,DZA,2021-08-09,43,
Algeria,DZA,2021-08-10,32,
Algeria,DZA,2021-08-11,31,
Algeria,DZA,2021-08-12,38,
Algeria,DZA,2021-08-13,31,
Algeria,DZA,2021-08-14,36,
Algeria,DZA,2021-08-15,31,
Algeria,DZA,2021-08-16,33,
Algeria,DZA,2021-08-17,40,
Algeria,DZA,2021-08-18,30,
Algeria,DZA,2021-08-19,33,
Algeria,DZA,2021-08-20,32,
Algeria,DZA,2021-08-21,39,
Algeria,DZA,2021-08-22,37,
Algeria,DZA,2021-08-23,38,
Algeria,DZA,2021-08-24,38,
Algeria,DZA,2021-08-25,36,
Algeria,DZA,2021-08-26,33,
Algeria,DZA,2021-08-27,36,
Algeria,DZA,2021-08-28,37,
Algeria,DZA,2021-08-29,39,
Algeria,DZA,2021-08-30,41,
Algeria,DZA,2021-08-31,35,
Algeria,DZA,2021-09-01,35,
Algeria,DZA,2021-09-02,42,
Algeria,DZA,2021-09-03,42,
Algeria,DZA,2021-09-04,44,
Algeria,DZA,2021-09-05,39,
Algeria,DZA,2021-09-06,36,
Algeria,DZA,2021-09-07,38,
Algeria,DZA,2021-09-08,42,
Algeria,DZA,2021-09-09,37,
Algeria,DZA,2021-09-10,34,
Algeria,DZA,2021-09-11,28,
Algeria,DZA,2021-09-12,33,
Algeria,DZA,2021-09-13,29,
Algeria,DZA,2021-09-14,31,
Algeria,DZA,2021-09-15,20,
Algeria,DZA,2021-09-16,24,
Algeria,DZA,2021-09-17,25,
Algeria,DZA,2021-09-18,28,
Algeria,DZA,2021-09-19,21,
Algeria,DZA,2021-09-20,22,
Algeria,DZA,2021-09-21,23,
Algeria,DZA,2021-09-22,27,
Algeria,DZA,2021-09-23,21,
Algeria,DZA,2021-09-24,20,
Algeria,DZA,2021-09-25,13,
Algeria,DZA,2021-09-26,18,
Algeria,DZA,2021-09-27,18,
Algeria,DZA,2021-09-28,14,
Algeria,DZA,2021-09-29,15,
Algeria,DZA,2021-09-30,15,
Algeria,DZA,2021-10-01,15,
Algeria,DZA,2021-10-02,15,
Algeria,DZA,2021-10-03,18,
Algeria,DZA,2021-10-04,16,
Algeria,DZA,2021-10-05,15,
Algeria,DZA,2021-10-06,18,
Algeria,DZA,2021-10-07,20,
Algeria,DZA,2021-10-08,14,
Algeria,DZA,2021-10-09,13,
Algeria,DZA,2021-10-10,15,
Algeria,DZA,2021-10-11,14,
Algeria,DZA,2021-10-12,13,
Algeria,DZA,2021-10-13,11,
Algeria,DZA,2021-10-14,12,
Algeria,DZA,2021-10-15,13,
Algeria,DZA,2021-10-16,13,
Algeria,DZA,2021-10-17,13,
Algeria,DZA,2021-10-18,11,
Algeria,DZA,2021-10-19,16,
Algeria,DZA,2021-10-20,17,
Algeria,DZA,2021-10-21,16,
Algeria,DZA,2021-10-22,13,
Algeria,DZA,2021-10-23,16,
Algeria,DZA,2021-10-24,16,
Algeria,DZA,2021-10-25,11,
Algeria,DZA,2021-10-26,10,
Algeria,DZA,2021-10-27,15,
Algeria,DZA,2021-10-28,14,
Algeria,DZA,2021-10-29,10,
Algeria,DZA,2021-10-30,9,
Algeria,DZA,2021-10-31,11,
Algeria,DZA,2021-11-01,14,
Algeria,DZA,2021-11-02,15,
Algeria,DZA,2021-11-03,16,
Algeria,DZA,2021-11-04,18,
Algeria,DZA,2021-11-05,16,
Algeria,DZA,2021-11-06,20,
Algeria,DZA,2021-11-07,15,
Algeria,DZA,2021-11-08,15,
Algeria,DZA,2021-11-09,16,
Algeria,DZA,2021-11-10,19,
Algeria,DZA,2021-11-11,25,
Algeria,DZA,2021-11-12,16,
Algeria,DZA,2021-11-13,19,
Algeria,DZA,2021-11-14,18,
Algeria,DZA,2021-11-15,22,
Algeria,DZA,2021-11-16,19,
Algeria,DZA,2021-11-17,20,
Algeria,DZA,2021-11-18,22,
Algeria,DZA,2021-11-19,22,
Algeria,DZA,2021-11-20,24,
Algeria,DZA,2021-11-21,23,
Algeria,DZA,2021-11-22,22,
Algeria,DZA,2021-11-23,21,
Algeria,DZA,2021-11-24,18,
Algeria,DZA,2021-11-25,22,
Algeria,DZA,2021-11-26,23,
Algeria,DZA,2021-11-27,21,
Algeria,DZA,2021-11-28,20,
Algeria,DZA,2021-11-29,17,
Algeria,DZA,2021-11-30,14,
Algeria,DZA,2021-12-01,16,
Algeria,DZA,2021-12-02,15,
Algeria,DZA,2021-12-03,15,
Algeria,DZA,2021-12-04,15,
Algeria,DZA,2021-12-05,16,
Algeria,DZA,2021-12-06,14,
Algeria,DZA,2021-12-07,20,
Algeria,DZA,2021-12-08,19,
Algeria,DZA,2021-12-09,20,
Algeria,DZA,2021-12-10,22,
Algeria,DZA,2021-12-11,24,
Algeria,DZA,2021-12-12,28,
Algeria,DZA,2021-12-13,26,
Algeria,DZA,2021-12-14,28,
Algeria,DZA,2021-12-15,26,
Algeria,DZA,2021-12-16,30,
Algeria,DZA,2021-12-17,27,
Algeria,DZA,2021-12-18,24,
Algeria,DZA,2021-12-19,21,
Algeria,DZA,2021-12-20,22,
Algeria,DZA,2021-12-21,21,
Algeria,DZA,2021-12-22,26,
Algeria,DZA,2021-12-23,30,
Algeria,DZA,2021-12-24,34,
Algeria,DZA,2021-12-25,36,
Algeria,DZA,2021-12-26,38,
Algeria,DZA,2021-12-27,34,
Algeria,DZA,2021-12-28,27,
Algeria,DZA,2021-12-29,28,
Algeria,DZA,2021-12-30,27,
Algeria,DZA,2021-12-31,26,
Algeria,DZA,2022-01-01,27,
Algeria,DZA,2022-01-02,30,
Algeria,DZA,2022-01-03,34,
Algeria,DZA,2022-01-04,32,
Algeria,DZA,2022-01-05,33,
Algeria,DZA,2022-01-06,33,
Algeria,DZA,2022-01-07,31,
Algeria,DZA,2022-01-08,35,
Algeria,DZA,2022-01-09,33,
Algeria,DZA,2022-01-10,39,
Algeria,DZA,2022-01-11,37,
Algeria,DZA,2022-01-12,41,
Algeria,DZA,2022-01-13,41,
Algeria,DZA,2022-01-14,35,
Algeria,DZA,2022-01-15,32,
Algeria,DZA,2022-01-16,45,
Algeria,DZA,2022-01-17,40,
Algeria,DZA,2022-01-18,37,
Argentina,ARG,2020-07-01,576,
Argentina,ARG,2020-07-02,594,
Argentina,ARG,2020-07-03,620,
Argentina,ARG,2020-07-04,637,
Argentina,ARG,2020-07-05,658,
Argentina,ARG,2020-07-06,676,
Argentina,ARG,2020-07-07,688,
Argentina,ARG,2020-07-08,671,
Argentina,ARG,2020-07-09,662,
Argentina,ARG,2020-07-10,686,
Argentina,ARG,2020-07-11,701,
Argentina,ARG,2020-07-12,735,
Argentina,ARG,2020-07-13,752,
Argentina,ARG,2020-07-14,772,
Argentina,ARG,2020-07-15,783,
Argentina,ARG,2020-07-16,793,
Argentina,ARG,2020-07-17,823,
Argentina,ARG,2020-07-18,824,
Argentina,ARG,2020-07-19,842,
Argentina,ARG,2020-07-20,853,
Argentina,ARG,2020-07-21,890,
Argentina,ARG,2020-07-22,902,
Argentina,ARG,2020-07-23,913,
Argentina,ARG,2020-07-24,955,
Argentina,ARG,2020-07-25,980,
Argentina,ARG,2020-07-26,993,
Argentina,ARG,2020-07-27,1002,
Argentina,ARG,2020-07-28,1024,
Argentina,ARG,2020-07-29,1057,
Argentina,ARG,2020-07-30,1076,
Argentina,ARG,2020-07-31,1104,
Argentina,ARG,2020-08-01,1128,
Argentina,ARG,2020-08-02,1122,
Argentina,ARG,2020-08-03,1150,
Argentina,ARG,2020-08-04,1207,
Argentina,ARG,2020-08-05,1219,
Argentina,ARG,2020-08-06,1245,
Argentina,ARG,2020-08-07,1293,
Argentina,ARG,2020-08-08,1502,
Argentina,ARG,2020-08-09,1565,
Argentina,ARG,2020-08-10,1569,
Argentina,ARG,2020-08-11,1585,
Argentina,ARG,2020-08-12,1662,
Argentina,ARG,2020-08-13,1682,
Argentina,ARG,2020-08-14,1718,
Argentina,ARG,2020-08-15,1716,
Argentina,ARG,2020-08-16,1708,
Argentina,ARG,2020-08-17,1749,
Argentina,ARG,2020-08-18,1799,
Argentina,ARG,2020-08-19,1795,
Argentina,ARG,2020-08-20,1832,
Argentina,ARG,2020-08-21,1853,
Argentina,ARG,2020-08-22,1907,
Argentina,ARG,2020-08-23,1922,
Argentina,ARG,2020-08-24,1960,
Argentina,ARG,2020-08-25,1990,
Argentina,ARG,2020-08-26,2022,
Argentina,ARG,2020-08-27,2075,
Argentina,ARG,2020-08-28,2114,
Argentina,ARG,2020-08-29,2192,
Argentina,ARG,2020-08-30,2232,
Argentina,ARG,2020-08-31,2273,
Argentina,ARG,2020-09-01,2314,
Argentina,ARG,2020-09-02,2539,
Argentina,ARG,2020-09-03,2394,
Argentina,ARG,2020-09-04,2425,
Argentina,ARG,2020-09-05,2456,
Argentina,ARG,2020-09-06,2512,
Argentina,ARG,2020-09-07,2698,
Argentina,ARG,2020-09-08,2719,
Argentina,ARG,2020-09-09,2829,
Argentina,ARG,2020-09-10,2880,
Argentina,ARG,2020-09-11,3093,
Argentina,ARG,2020-09-12,2962,
Argentina,ARG,2020-09-13,2984,
Argentina,ARG,2020-09-14,2992,
Argentina,ARG,2020-09-15,3049,
Argentina,ARG,2020-09-16,3118,
Argentina,ARG,2020-09-17,3108,
Argentina,ARG,2020-09-18,3225,
Argentina,ARG,2020-09-19,3213,
Argentina,ARG,2020-09-20,3261,
Argentina,ARG,2020-09-21,3387,
Argentina,ARG,2020-09-22,3362,
Argentina,ARG,2020-09-23,3511,
Argentina,ARG,2020-09-24,3527,
Argentina,ARG,2020-09-25,3595,
Argentina,ARG,2020-09-26,3633,
Argentina,ARG,2020-09-27,3604,
Argentina,ARG,2020-09-28,3678,
Argentina,ARG,2020-09-29,3768,
Argentina,ARG,2020-09-30,3792,
Argentina,ARG,2020-10-01,3799,
Argentina,ARG,2020-10-02,3828,
Argentina,ARG,2020-10-03,3820,
Argentina,ARG,2020-10-04,3950,
Argentina,ARG,2020-10-05,3978,
Argentina,ARG,2020-10-06,4007,
Argentina,ARG,2020-10-07,3997,
Argentina,ARG,2020-10-08,4043,
Argentina,ARG,2020-10-09,4092,
Argentina,ARG,2020-10-10,4200,
Argentina,ARG,2020-10-11,4237,
Argentina,ARG,2020-10-12,4287,
Argentina,ARG,2020-10-13,4294,
Argentina,ARG,2020-10-14,4316,
Argentina,ARG,2020-10-15,4278,
Argentina,ARG,2020-10-16,4346,
Argentina,ARG,2020-10-17,4386,
Argentina,ARG,2020-10-18,4387,
Argentina,ARG,2020-10-19,4392,
Argentina,ARG,2020-10-20,4451,
Argentina,ARG,2020-10-21,4573,
Argentina,ARG,2020-10-22,4611,
Argentina,ARG,2020-10-23,4696,
Argentina,ARG,2020-10-24,4850,
Argentina,ARG,2020-10-25,4863,
Argentina,ARG,2020-10-26,5038,
Argentina,ARG,2020-10-27,4952,
Argentina,ARG,2020-10-28,5037,
Argentina,ARG,2020-10-29,4981,
Argentina,ARG,2020-10-30,4981,
Argentina,ARG,2020-10-31,4969,
Argentina,ARG,2020-11-01,5119,
Argentina,ARG,2020-11-02,4922,
Argentina,ARG,2020-11-03,4854,
Argentina,ARG,2020-11-04,4816,
Argentina,ARG,2020-11-05,4713,
Argentina,ARG,2020-11-06,4666,
Argentina,ARG,2020-11-07,4593,
Argentina,ARG,2020-11-08,4608,
Argentina,ARG,2020-11-09,4577,
Argentina,ARG,2020-11-10,4494,
Argentina,ARG,2020-11-11,4418,
Argentina,ARG,2020-11-12,4397,
Argentina,ARG,2020-11-13,4381,
Argentina,ARG,2020-11-14,4346,
Argentina,ARG,2020-11-15,4365,
Argentina,ARG,2020-11-16,4322,
Argentina,ARG,2020-11-17,4379,
Argentina,ARG,2020-11-18,4267,
Argentina,ARG,2020-11-19,4292,
Argentina,ARG,2020-11-20,4187,
Argentina,ARG,2020-11-21,4132,
Argentina,ARG,2020-11-22,4245,
Argentina,ARG,2020-11-23,4166,
Argentina,ARG,2020-11-24,4148,
Argentina,ARG,2020-11-25,4039,
Argentina,ARG,2020-11-26,3960,
Argentina,ARG,2020-11-27,4120,
Argentina,ARG,2020-11-28,4021,
Argentina,ARG,2020-11-29,4013,
Argentina,ARG,2020-11-30,4062,
Argentina,ARG,2020-12-01,3946,
Argentina,ARG,2020-12-02,3983,
Argentina,ARG,2020-12-03,3916,
Argentina,ARG,2020-12-04,3929,
Argentina,ARG,2020-12-05,3757,
Argentina,ARG,2020-12-06,3735,
Argentina,ARG,2020-12-07,3723,
Argentina,ARG,2020-12-08,3715,
Argentina,ARG,2020-12-09,3688,
Argentina,ARG,2020-12-10,3655,
Argentina,ARG,2020-12-11,3620,
Argentina,ARG,2020-12-12,3594,
Argentina,ARG,2020-12-13,3537,
Argentina,ARG,2020-12-14,3478,
Argentina,ARG,2020-12-15,3475,
Argentina,ARG,2020-12-16,3443,
Argentina,ARG,2020-12-17,3471,
Argentina,ARG,2020-12-18,3434,
Argentina,ARG,2020-12-19,3452,
Argentina,ARG,2020-12-20,3462,
Argentina,ARG,2020-12-21,3367,
Argentina,ARG,2020-12-22,3399,
Argentina,ARG,2020-12-23,3390,
Argentina,ARG,2020-12-26,3262,
Argentina,ARG,2020-12-27,3313,
Argentina,ARG,2020-12-28,3319,
Argentina,ARG,2020-12-29,3345,
Argentina,ARG,2020-12-30,3440,
Argentina,ARG,2021-01-02,3438,
Argentina,ARG,2021-01-03,3433,
Argentina,ARG,2021-01-04,3502,
Argentina,ARG,2021-01-05,3460,
Argentina,ARG,2021-01-06,3460,
Argentina,ARG,2021-01-07,3559,
Argentina,ARG,2021-01-08,3559,
Argentina,ARG,2021-01-09,3597,
Argentina,ARG,2021-01-10,3612,
Argentina,ARG,2021-01-11,3606,
Argentina,ARG,2021-01-12,3619,
Argentina,ARG,2021-01-13,3619,
Argentina,ARG,2021-01-14,3634,
Argentina,ARG,2021-01-15,3578,
Argentina,ARG,2021-01-16,3578,
Argentina,ARG,2021-01-17,3547,
Argentina,ARG,2021-01-18,3564,
Argentina,ARG,2021-01-19,3562,
Argentina,ARG,2021-01-20,3562,
Argentina,ARG,2021-01-21,3616,
Argentina,ARG,2021-01-22,3616,
Argentina,ARG,2021-01-23,3618,
Argentina,ARG,2021-01-24,3619,
Argentina,ARG,2021-01-25,3619,
Argentina,ARG,2021-01-26,3614,
Argentina,ARG,2021-01-27,3614,
Argentina,ARG,2021-01-28,3607,
Argentina,ARG,2021-01-29,3628,
Argentina,ARG,2021-01-30,3624,
Argentina,ARG,2021-01-31,3617,
Argentina,ARG,2021-02-01,3554,
Argentina,ARG,2021-02-02,3586,
Argentina,ARG,2021-02-03,3571,
Argentina,ARG,2021-02-04,3570,
Argentina,ARG,2021-02-05,3550,
Argentina,ARG,2021-02-06,3550,
Argentina,ARG,2021-02-07,3550,
Argentina,ARG,2021-02-08,3526,
Argentina,ARG,2021-02-09,3553,
Argentina,ARG,2021-02-10,3561,
Argentina,ARG,2021-02-11,3541,
Argentina,ARG,2021-02-12,3538,
Argentina,ARG,2021-02-13,3514,
Argentina,ARG,2021-02-14,3547,
Argentina,ARG,2021-02-15,3538,
Argentina,ARG,2021-02-16,3581,
Argentina,ARG,2021-02-17,3573,
Argentina,ARG,2021-02-19,3608,
Argentina,ARG,2021-02-20,3605,
Argentina,ARG,2021-02-21,3605,
Argentina,ARG,2021-02-22,3550,
Argentina,ARG,2021-02-23,3529,
Argentina,ARG,2021-02-24,3504,
Argentina,ARG,2021-02-25,3467,
Argentina,ARG,2021-02-26,3475,
